"Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_combined","converge_case","converge_control","allZero"
"ENSGALG00000017611",0.263657311446194,0.822106013869725,-300.16987549512,-304.002566589638,13,7,1230.26010171555,0,0,0,FALSE
"ENSGALG00000004378",0.978529001833448,1,-256.371702304634,-256.954720859897,13,7,742.007186958853,0,0,0,FALSE
"ENSGALG00000028236",2.71198834925817e-09,1.48406029112183e-07,-250.937317470987,-276.532637373572,13,7,449.559418976003,0,0,0,FALSE
"ENSGALG00000046708",0.942904282650943,1,-144.661274362665,-145.525496365726,13,7,11.9227381277692,0,0,0,FALSE
"ENSGALG00000004180",0.836043501989095,1,-258.009940562123,-259.399382242816,13,7,707.674716401603,0,0,0,FALSE
"ENSGALG00000004165",0.439469993870279,1,-248.695242704645,-251.623430354453,13,7,796.016838551225,0,0,0,FALSE
"ENSGALG00000004152",0.463600499202735,1,-255.70049423776,-258.525135885434,13,7,738.78259485444,0,0,0,FALSE
"ENSGALG00000041104",0.987056614730472,1,-248.981569050535,-249.461942713297,13,7,367.619526232529,0,0,0,FALSE
"ENSGALG00000004088",0.756465385543422,1,-283.486826544181,-285.189696599121,13,7,662.024624659967,0,0,0,FALSE
"ENSGALG00000004052",0.532799960640263,1,-261.944557491847,-264.487680796187,13,7,747.954686850586,0,0,0,FALSE
"ENSGALG00000012710",0.535629671748028,1,-281.62946693086,-284.161473204732,13,7,763.646403622096,0,0,0,FALSE
"ENSGALG00000023689",0.539833873336688,1,-252.702272686443,-255.217809671649,13,7,239.834779966425,0,0,0,FALSE
"ENSGALG00000003941",0.317044576107104,0.896796499958716,-303.454850041395,-306.975500668473,13,7,2780.20569807641,0,0,0,FALSE
"ENSGALG00000003895",0.00174476120378612,0.0221753520739268,-231.926962255021,-242.487623158359,13,7,164.923667230805,0,0,0,FALSE
"ENSGALG00000040373",0.0515554892020668,0.303540071980268,-300.659771997954,-306.913609085042,13,7,2280.26029252519,0,0,0,FALSE
"ENSGALG00000003875",0.769717893704441,1,-334.570473595251,-336.222929856873,13,7,2065.42045319074,0,0,0,FALSE
"ENSGALG00000003866",0.24619454659059,0.793382638681455,-175.080552986939,-179.026077357549,13,7,32.9202582307345,0,0,0,FALSE
"ENSGALG00000035908",0.523718893597806,1,-129.848181201306,-132.427162570331,13,7,9.57126462823307,0,0,0,FALSE
"ENSGALG00000047338",1.04906703966934e-06,3.35739325150494e-05,-173.582812983883,-192.658802236166,13,7,52.5313463737761,0,0,0,FALSE
"ENSGALG00000048024",2.37890834754906e-18,5.40744166692882e-16,-241.455808731883,-289.112554747865,13,7,269.989832141901,0,0,0,FALSE
"ENSGALG00000029834",2.39183541775832e-27,1.63104776757135e-24,-262.020365549829,-331.125140107829,13,7,606.01078503666,0,0,0,FALSE
"ENSGALG00000041111",0.848360821454932,1,-329.165824500717,-330.503454118205,13,7,2232.52285890227,0,0,0,FALSE
"ENSGALG00000053940",0.60538058088061,1,-61.8198086194608,-64.0846591904577,13,7,1.22390776494922,0,0,0,FALSE
"ENSGALG00000003789",2.69285956961644e-06,7.91781097334984e-05,-139.623517818504,-157.649664549815,13,7,16.020384816032,0,0,0,FALSE
